# JDCT, time, x, y, z, vx, vy, vz
2443376.147916667, A.D. 1977-Aug-20 15:33:00.0000, -4.225232527803362E+09, -1.059600998758574E+09,  1.335507155969177E+09,  2.060330866025046E+00, -5.620736879588716E+00, -1.599244274587841E-02,  1.519783453529436E+04,  4.556196171613184E+09, -6.081820227118060E-01,
2443377.147916667, A.D. 1977-Aug-21 15:33:00.0000, -4.225055166675723E+09, -1.060087323271546E+09,  1.335505823906083E+09,  2.044785940113853E+00, -5.635224893189674E+00, -1.153480700986798E-02,  1.519766195596023E+04,  4.556144433630404E+09, -5.884158785924193E-01,
2443378.147916667, A.D. 1977-Aug-22 15:33:00.0000, -4.224879046555089E+09, -1.060574341552451E+09,  1.335505595999727E+09,  2.034030859526582E+00, -5.635452593156028E+00,  7.479944914984493E-03,  1.519749502776842E+04,  4.556094389817472E+09, -5.721410058268106E-01,
2443379.147916667, A.D. 1977-Aug-23 15:33:00.0000, -4.224703242623883E+09, -1.061060692297303E+09,  1.335507043378954E+09,  2.038178101895725E+00, -5.620999423939458E+00,  2.402609314807869E-02,  1.519733039157363E+04,  4.556045033127962E+09, -5.738286299459298E-01,
2443380.147916667, A.D. 1977-Aug-24 15:33:00.0000, -4.224526500174110E+09, -1.061545594613563E+09,  1.335509225925130E+09,  2.054047507803965E+00, -5.604682200389678E+00,  2.305105847704469E-02,  1.519716263971489E+04,  4.555994742385895E+09, -5.919601934452496E-01,
2443381.147916667, A.D. 1977-Aug-25 15:33:00.0000, -4.224348365938344E+09, -1.062029559900310E+09,  1.335510527446824E+09,  2.067817899717031E+00, -5.601070469478838E+00,  5.310020178530106E-03,  1.519698918635998E+04,  4.555942742378277E+09, -6.101018668105761E-01,
2443382.147916667, A.D. 1977-Aug-26 15:33:00.0000, -4.224169595265420E+09, -1.062513927607755E+09,  1.335510115323585E+09,  2.067681461398389E+00, -5.613188483036330E+00, -1.339234486983010E-02,  1.519681259483455E+04,  4.555889801570808E+09, -6.119620872962694E-01,
2443383.147916667, A.D. 1977-Aug-27 15:33:00.0000, -4.223991464144309E+09, -1.062999661317600E+09,  1.335508673030802E+09,  2.054309825153521E+00, -5.630101655129526E+00, -1.664029104574460E-02,  1.519663823019109E+04,  4.555837528365756E+09, -5.958979550258686E-01,
2443384.147916667, A.D. 1977-Aug-28 15:33:00.0000, -4.223814638984907E+09, -1.063486503975445E+09,  1.335507780699345E+09,  2.039986549255083E+00, -5.636749028943799E+00, -1.706755352608447E-03,  1.519646949957862E+04,  4.555786944200706E+09, -5.760141878213014E-01,
2443385.147916667, A.D. 1977-Aug-29 15:33:00.0000, -4.223638589906383E+09, -1.063973204723702E+09,  1.335508523126072E+09,  2.037920715919411E+00, -5.627038659112761E+00,  1.808589346784517E-02,  1.519630485152115E+04,  4.555737583954851E+09, -5.698897952234578E-01,
2443386.147916667, A.D. 1977-Aug-30 15:33:00.0000, -4.223462049380144E+09, -1.064458621855853E+09,  1.335510518224323E+09,  2.050523792551669E+00, -5.609464321935354E+00,  2.485157589937126E-02,  1.519613910255524E+04,  4.555687893664950E+09, -5.830244034938299E-01,
2443387.147916667, A.D. 1977-Aug-31 15:33:00.0000, -4.223284145995582E+09, -1.064942753809953E+09,  1.335512243074109E+09,  2.066937334903773E+00, -5.599731838183737E+00,  1.233106209732027E-02,  1.519596806639017E+04,  4.555636618312614E+09, -6.035164300549709E-01,
2443388.147916667, A.D. 1977-Sep-01 15:33:00.0000, -4.223105193731215E+09, -1.065426743936347E+09,  1.335512407903136E+09,  2.072908010003977E+00, -5.606405170975608E+00, -8.302231926316850E-03,  1.519579234360412E+04,  4.555583937946659E+09, -6.128703473486454E-01,
2443389.147916667, A.D. 1977-Sep-02 15:33:00.0000, -4.222926399610195E+09, -1.065911845331377E+09,  1.335511109691887E+09,  2.063679027630276E+00, -5.623329061438419E+00, -1.881882538978719E-02,  1.519561673938540E+04,  4.555531293126293E+09, -6.027670897225672E-01,
2443390.147916667, A.D. 1977-Sep-03 15:33:00.0000, -4.222748784520601E+09, -1.066398311274096E+09,  1.335509728080908E+09,  2.047909978497793E+00, -5.635412479148115E+00, -1.009937007657369E-02,  1.519544595837157E+04,  4.555480094266377E+09, -5.820907508156803E-01,
2443391.147916667, A.D. 1977-Sep-04 15:33:00.0000, -4.222572286416415E+09, -1.066885177853261E+09,  1.335509705195456E+09,  2.040026723541553E+00, -5.631804163352399E+00,  1.006049130637487E-02,  1.519528046712745E+04,  4.555430481239527E+09, -5.690430458371177E-01,
2443392.147916667, A.D. 1977-Sep-05 15:33:00.0000, -4.222395807245698E+09, -1.067371108918396E+09,  1.335511268445896E+09,  2.047616494733775E+00, -5.615502845300143E+00,  2.355467704531788E-02,  1.519511604893541E+04,  4.555381189905594E+09, -5.752678331896711E-01,
2443393.147916667, A.D. 1977-Sep-06 15:33:00.0000, -4.222218185019030E+09, -1.067855590994823E+09,  1.335513209804925E+09,  2.064380041947071E+00, -5.601024228609247E+00,  1.805755966249922E-02,  1.519494752741373E+04,  4.555330668424384E+09, -5.951405076709888E-01,
2443394.147916667, A.D. 1977-Sep-07 15:33:00.0000, -4.222039244661687E+09, -1.068339404079407E+09,  1.335513967955256E+09,  2.075701908730312E+00, -5.601256663888758E+00, -1.580560686067933E-03,  1.519477344338039E+04,  4.555278479344130E+09, -6.106679505920771E-01,
