# JDCT, time, x, y, z, vx, vy, vz
2443376.147916667, A.D. 1977-Aug-20 15:33:00.0000,  2.109160081673836E+07, -6.351960893079072E+07, -7.124086225417066E+06,  3.647068225450784E+01,  1.783295442730245E+01, -1.893342674717684E+00,
2443377.147916667, A.D. 1977-Aug-21 15:33:00.0000,  2.420645562704558E+07, -6.187581892567527E+07, -7.275932401461031E+06,  3.560970551182024E+01,  2.021565043503202E+01, -1.619697895641030E+00,
2443378.147916667, A.D. 1977-Aug-22 15:33:00.0000,  2.724096929453148E+07, -6.002677991919468E+07, -7.403639246883284E+06,  3.461022481148120E+01,  2.258320849434152E+01, -1.334568657199872E+00,
2443379.147916667, A.D. 1977-Aug-23 15:33:00.0000,  3.018298727236224E+07, -5.797403722854777E+07, -7.506216641812719E+06,  3.346784627049659E+01,  2.493002308623918E+01, -1.038009159289837E+00,
2443380.147916667, A.D. 1977-Aug-24 15:33:00.0000,  3.301996371646614E+07, -5.571965046716081E+07, -7.582680525958393E+06,  3.217791095399301E+01,  2.724977796404182E+01, -7.301072969030251E-01,
2443381.147916667, A.D. 1977-Aug-25 15:33:00.0000,  3.573894004875191E+07, -5.326625944092849E+07, -7.632056310900431E+06,  3.073553083285961E+01,  2.953534053583957E+01, -4.109965873610903E-01,
2443382.147916667, A.D. 1977-Aug-26 15:33:00.0000,  3.832652721121134E+07, -5.061715961616051E+07, -7.653383412992332E+06,  2.913563881909278E+01,  3.177864585024266E+01, -8.087023948096750E-02,
2443383.147916667, A.D. 1977-Aug-27 15:33:00.0000,  4.076889298120761E+07, -4.777638806892999E+07, -7.645721107012648E+06,  2.737305656133780E+01,  3.397056998828011E+01,  2.600022810238141E-01,
2443384.147916667, A.D. 1977-Aug-28 15:33:00.0000,  4.305175606837497E+07, -4.474882082236964E+07, -7.608155932602668E+06,  2.544258443860126E+01,  3.610079316551786E+01,  6.112558071488809E-01,
2443385.147916667, A.D. 1977-Aug-29 15:33:00.0000,  4.516038913285802E+07, -4.154028242222501E+07, -7.539810919443361E+06,  2.333911903341907E+01,  3.815765358782961E+01,  9.724067473809654E-01,
2443386.147916667, A.D. 1977-Aug-30 15:33:00.0000,  4.707963335976661E+07, -3.815766846781291E+07, -7.439856931725837E+06,  2.105780427228296E+01,  4.012799415988554E+01,  1.342826686773464E+00,
2443387.147916667, A.D. 1977-Aug-31 15:33:00.0000,  4.879392779924750E+07, -3.460908157416368E+07, -7.307526465524070E+06,  1.859422334102553E+01,  4.199700561169891E+01,  1.721711950683297E+00,
2443388.147916667, A.D. 1977-Sep-01 15:33:00.0000,  5.028735733317788E+07, -3.090398085144839E+07, -7.142130260701653E+06,  1.594463932870089E+01,  4.374807159447817E+01,  2.108048854020909E+00,
2443389.147916667, A.D. 1977-Sep-02 15:33:00.0000,  5.154372384612577E+07, -2.705334439986309E+07, -6.943077106791399E+06,  1.310629318413729E+01,  4.536262392000484E+01,  2.500574515133103E+00,
2443390.147916667, A.D. 1977-Sep-03 15:33:00.0000,  5.254664593263656E+07, -2.306984347195090E+07, -6.709897222473794E+06,  1.007776777000035E+01,  4.682001949031814E+01,  2.897733370405035E+00,
2443391.147916667, A.D. 1977-Sep-04 15:33:00.0000,  5.327969321529847E+07, -1.896802578121746E+07, -6.442269560666707E+06,  6.859426259408639E+00,  4.809745466922716E+01,  3.297629918592957E+00,
2443392.147916667, A.D. 1977-Sep-05 15:33:00.0000,  5.372656199688982E+07, -1.476450386274316E+07, -6.140053322368863E+06,  3.453931412783672E+00,  4.916993789525100E+01,  3.697978792922598E+00,
2443393.147916667, A.D. 1977-Sep-06 15:33:00.0000,  5.387129940125220E+07, -1.047814234954521E+07, -5.803323835271645E+06, -1.331511583370332E-01,  5.001034710304448E+01,  4.096054045056775E+00,
2443394.147916667, A.D. 1977-Sep-07 15:33:00.0000,  5.369858319401646E+07, -6.130235468624962E+06, -5.432412747473113E+06, -3.892668463757095E+00,  5.058960465777572E+01,  4.488640561646132E+00,
2443395.147916667, A.D. 1977-Sep-08 15:33:00.0000,  5.319406387669415E+07, -1.744662977909391E+06, -5.027952180009776E+06, -7.811126039553269E+00,  5.087700832336044E+01,  4.871991833250512E+00,
2443396.147916667, A.D. 1977-Sep-09 15:33:00.0000,  5.234477411349275E+07,  2.651990766191047E+06, -4.590922052643006E+06, -1.186988878861856E+01,  5.084076111696113E+01,  5.241799825351823E+00,
2443397.147916667, A.D. 1977-Sep-10 15:33:00.0000,  5.113960772720587E+07,  7.030373701754010E+06, -4.122699229321945E+06, -1.604437831785199E+01,  5.044874399862265E+01,  5.593184357371676E+00,
2443398.147916667, A.D. 1977-Sep-11 15:33:00.0000,  4.956986602435242E+07,  1.135838165835612E+07, -3.625106420390494E+06, -2.030332943242824E+01,  4.966957082920835E+01,  5.920710964690748E+00,
2443399.147916667, A.D. 1977-Sep-12 15:33:00.0000,  4.762986277794163E+07,  1.560127831927360E+07, -3.100457949638854E+06, -2.460819227853980E+01,  4.847395203671639E+01,  6.218447346364837E+00,
2443400.147916667, A.D. 1977-Sep-13 15:33:00.0000,  4.531757068654314E+07,  1.972194653227668E+07, -2.551598604771113E+06, -2.891279023971927E+01,  4.683636904076270E+01,  6.480068678282496E+00,
2443401.147916667, A.D. 1977-Sep-14 15:33:00.0000,  4.263528176061539E+07,  2.368129659317735E+07, -1.981930948654944E+06, -3.316336206823379E+01,  4.473702358107798E+01,  6.699020664025079E+00,
